17.172.232.209,172.16.46.234,5,148,1.414117,1381241521.387585,1381241526.327872,4.940287
74.125.135.84,172.16.47.254,23,9068,0.001636,1381241515.158302,1381241516.175506,1.017204
74.125.135.125,172.16.47.254,4,26,10.125824,1381241516.777075,1381241527.045547,10.268472
74.125.236.99,172.16.47.254,57,20931,0.000697,1381241516.182884,1381241531.381654,15.198770
74.125.236.111,172.16.47.254,73,19577,0.001184,1381241516.181904,1381241526.745129,10.563225
74.125.236.125,172.16.47.254,39,11465,0.000810,1381241516.269489,1381241524.069122,7.799633
74.125.236.180,172.16.47.254,41,10457,0.000377,1381241516.183536,1381241522.638503,6.454967
172.16.0.30,172.16.47.254,50,3261,0.000294,1381241515.066307,1381241531.077939,16.011632
172.16.35.35,172.16.47.90,1,79,0.000000,1381241517.343985,1381241517.343985,0.000000
172.16.46.2,255.255.255.255,2,600,5.833418,1381241515.617013,1381241521.450431,5.833418
172.16.46.3,255.255.255.255,2,600,5.835894,1381241515.615970,1381241521.451864,5.835894
172.16.46.4,255.255.255.255,2,600,5.833962,1381241515.615972,1381241521.449934,5.833962
172.16.46.5,255.255.255.255,2,600,5.840385,1381241515.615498,1381241521.455883,5.840385
172.16.46.6,255.255.255.255,2,600,5.833887,1381241515.616298,1381241521.450185,5.833887
172.16.46.7,255.255.255.255,2,600,5.837172,1381241515.615960,1381241521.453132,5.837172
172.16.46.8,255.255.255.255,2,600,5.830388,1381241515.620932,1381241521.451320,5.830388
172.16.46.9,255.255.255.255,2,600,5.832887,1381241515.617022,1381241521.449909,5.832887
172.16.46.19,172.16.47.255,1,40,0.000000,1381241528.380552,1381241528.380552,0.000000
172.16.46.19,255.255.255.255,1,40,0.000000,1381241524.363068,1381241524.363068,0.000000
172.16.46.43,172.16.47.255,6,395,0.754085,1381241513.205332,1381241521.439056,8.233724
172.16.46.43,224.0.0.252,3,66,1.850282,1381241512.866902,1381241515.128020,2.261118
172.16.46.43,255.255.255.255,3,435,0.013187,1381241521.425850,1381241521.439363,0.013513
172.16.46.112,172.16.47.255,148,7400,0.001065,1381241513.087010,1381241531.316627,18.229617
172.16.46.112,224.0.0.252,102,2448,0.000243,1381241512.975391,1381241531.513308,18.537917
172.16.46.114,172.16.47.255,1,112,0.000000,1381241518.440596,1381241518.440596,0.000000
172.16.46.114,255.255.255.255,3,336,0.006607,1381241518.433948,1381241518.440592,0.006644
172.16.46.123,172.16.47.255,6,300,0.116260,1381241522.864439,1381241524.480284,1.615845
172.16.46.123,224.0.0.252,4,88,0.099492,1381241522.565091,1381241522.780609,0.215518
172.16.46.139,172.16.47.255,1,112,0.000000,1381241528.998949,1381241528.998949,0.000000
172.16.46.174,172.16.47.255,1,114,0.000000,1381241515.875770,1381241515.875770,0.000000
172.16.46.174,255.255.255.255,1,114,0.000000,1381241515.875753,1381241515.875753,0.000000
172.16.46.176,172.16.255.255,1,112,0.000000,1381241528.593017,1381241528.593017,0.000000
172.16.46.176,255.255.255.255,3,336,0.003088,1381241528.589635,1381241528.592996,0.003361
172.16.46.189,172.16.47.255,6,300,0.018690,1381241530.094065,1381241530.864401,0.770336
172.16.46.189,224.0.0.252,8,176,0.018931,1381241529.793346,1381241531.550277,1.756931
172.16.46.189,255.255.255.255,1,300,0.000000,1381241529.798365,1381241529.798365,0.000000
172.16.46.201,172.16.47.255,24,1200,0.053104,1381241513.959020,1381241516.024022,2.065002
172.16.46.201,224.0.0.252,16,352,0.035047,1381241513.657882,1381241514.323056,0.665174
172.16.46.201,255.255.255.255,1,300,0.000000,1381241513.708828,1381241513.708828,0.000000
172.16.46.205,172.16.47.255,16,800,0.671654,1381241512.815529,1381241526.425171,13.609642
172.16.46.205,224.0.0.252,10,220,0.410407,1381241516.369164,1381241525.335859,8.966695
172.16.46.208,172.16.47.255,2,154,9.766676,1381241516.181709,1381241525.948385,9.766676
172.16.46.208,255.255.255.255,2,228,0.003958,1381241525.944403,1381241525.948361,0.003958
172.16.46.232,172.16.46.255,1,103,0.000000,1381241530.166795,1381241530.166795,0.000000
172.16.46.232,255.255.255.255,1,103,0.000000,1381241530.166764,1381241530.166764,0.000000
172.16.46.239,172.16.47.255,3,150,0.750124,1381241528.982531,1381241530.482648,1.500117
172.16.46.239,224.0.0.252,2,180,0.099931,1381241522.466757,1381241522.566688,0.099931
172.16.46.245,255.255.255.255,1,178,0.000000,1381241516.351089,1381241516.351089,0.000000
172.16.47.20,172.16.47.255,1,112,0.000000,1381241515.344717,1381241515.344717,0.000000
172.16.47.20,255.255.255.255,2,224,0.004505,1381241515.340203,1381241515.344708,0.004505
172.16.47.50,172.16.47.255,3,150,0.750892,1381241515.676068,1381241517.176969,1.500901
172.16.47.50,224.0.0.252,2,44,0.409743,1381241515.677544,1381241516.087287,0.409743
172.16.47.66,172.16.47.255,6,300,0.749955,1381241518.879501,1381241529.965282,11.085781
172.16.47.66,224.0.0.252,4,88,0.409230,1381241518.879954,1381241528.875765,9.995811
172.16.47.72,172.16.47.255,3,150,0.759163,1381241521.742563,1381241523.250883,1.508320
172.16.47.72,224.0.0.252,2,44,0.100598,1381241521.441692,1381241521.542290,0.100598
172.16.47.72,255.255.255.255,1,300,0.000000,1381241521.446563,1381241521.446563,0.000000
172.16.47.84,172.16.47.255,12,600,0.001017,1381241515.906637,1381241517.440095,1.533458
172.16.47.84,224.0.0.252,8,176,0.001166,1381241515.606543,1381241515.740221,0.133678
172.16.47.84,255.255.255.255,1,300,0.000000,1381241515.612304,1381241515.612304,0.000000
172.16.47.108,172.16.47.255,11,550,0.752920,1381241512.960836,1381241531.460814,18.499978
172.16.47.108,224.0.0.252,7,147,4.580173,1381241516.457376,1381241531.461996,15.004620
172.16.47.114,172.16.47.255,14,923,0.764506,1381241516.031501,1381241531.023130,14.991629
172.16.47.114,224.0.0.252,6,144,0.108670,1381241515.726945,1381241529.291774,13.564829
172.16.47.118,172.16.47.255,1,112,0.000000,1381241517.523483,1381241517.523483,0.000000
172.16.47.118,255.255.255.255,3,336,0.017523,1381241517.505758,1381241517.523311,0.017553
172.16.47.147,172.16.47.255,12,600,0.750003,1381241514.079161,1381241529.172526,15.093365
172.16.47.147,224.0.0.252,8,176,0.099957,1381241513.779431,1381241527.472706,13.693275
172.16.47.155,172.16.47.255,4,200,0.799997,1381241513.206267,1381241523.706689,10.500422
172.16.47.155,224.0.0.252,2,48,0.410773,1381241522.156045,1381241522.566818,0.410773
172.16.47.160,172.16.47.254,6,0,0.499860,1381241529.360577,1381241530.357450,0.996873
172.16.47.169,172.16.47.255,6,300,0.027124,1381241527.416415,1381241528.942699,1.526284
172.16.47.169,224.0.0.252,4,88,0.027471,1381241527.116422,1381241527.243184,0.126762
172.16.47.193,172.16.47.255,3,150,0.751212,1381241520.371775,1381241521.873920,1.502145
172.16.47.193,224.0.0.252,2,44,0.410104,1381241520.372633,1381241520.782737,0.410104
172.16.47.213,172.16.47.255,9,450,0.622539,1381241514.001279,1381241530.185971,16.184692
172.16.47.225,172.16.47.254,6,0,0.506206,1381241530.324124,1381241531.331043,1.006919
172.16.47.226,172.16.47.255,56,2800,0.014802,1381241514.449177,1381241531.263087,16.813910
172.16.47.226,224.0.0.252,40,886,0.004888,1381241514.137014,1381241530.296331,16.159317
172.16.47.226,255.255.255.255,1,300,0.000000,1381241514.127659,1381241514.127659,0.000000
172.16.47.247,172.16.47.255,3,150,0.754478,1381241519.783635,1381241521.288166,1.504531
172.16.47.247,224.0.0.252,2,44,0.410335,1381241519.784529,1381241520.194864,0.410335
172.16.47.254,173.194.36.33,65,10271,0.001078,1381241516.183299,1381241526.744391,10.561092
172.16.47.254,173.194.36.36,18,4621,0.001509,1381241516.182654,1381241526.743817,10.561163
172.16.47.254,173.194.36.42,49,14128,0.006204,1381241516.183082,1381241526.744152,10.561070
172.16.47.254,173.194.36.53,265,182833,0.000670,1381241516.273246,1381241526.916238,10.642992
